mask_type,eta,mask_seed,ridge_alpha,nrmse
two_sine,0.01,0,0.0001,0.6818040562816782
two_sine,0.01,0,0.01,0.7100572571144316
two_sine,0.01,1,0.0,0.7055206223408943
two_sine,0.01,1,1e-10,0.7054974577690623
two_sine,0.01,1,1e-08,0.7080116137316795
two_sine,0.01,1,1e-06,0.7171367451707136
two_sine,0.01,1,0.0001,0.6818040562816782
two_sine,0.01,1,0.01,0.7100572571144316
two_sine,0.01,2,0.0,0.7055206223408943
two_sine,0.01,2,1e-10,0.7054974577690623
two_sine,0.01,2,1e-08,0.7080116137316795
two_sine,0.01,2,1e-06,0.7171367451707136
two_sine,0.01,2,0.0001,0.6818040562816782
two_sine,0.01,2,0.01,0.7100572571144316
two_sine,0.01,3,0.0,0.7055206223408943
two_sine,0.01,3,1e-10,0.7054974577690623
two_sine,0.01,3,1e-08,0.7080116137316795
two_sine,0.01,3,1e-06,0.7171367451707136
two_sine,0.01,3,0.0001,0.6818040562816782
two_sine,0.01,3,0.01,0.7100572571144316
two_sine,0.01,4,0.0,0.7055206223408943
two_sine,0.01,4,1e-10,0.7054974577690623
two_sine,0.01,4,1e-08,0.7080116137316795
two_sine,0.01,4,1e-06,0.7171367451707136
two_sine,0.01,4,0.0001,0.6818040562816782
two_sine,0.01,4,0.01,0.7100572571144316
two_sine,0.03,0,0.0,0.7236480652217697
two_sine,0.03,0,1e-10,0.723647604831926
two_sine,0.03,0,1e-08,0.723602139997665
two_sine,0.03,0,1e-06,0.7199859181634758
two_sine,0.03,0,0.0001,0.7000595794260481
two_sine,0.03,0,0.01,0.6958163218180557
two_sine,0.03,1,0.0,0.7236480652217697
two_sine,0.03,1,1e-10,0.723647604831926
two_sine,0.03,1,1e-08,0.723602139997665
two_sine,0.03,1,1e-06,0.7199859181634758
two_sine,0.03,1,0.0001,0.7000595794260481
two_sine,0.03,1,0.01,0.6958163218180557
two_sine,0.03,2,0.0,0.7236480652217697
two_sine,0.03,2,1e-10,0.723647604831926
two_sine,0.03,2,1e-08,0.723602139997665
two_sine,0.03,2,1e-06,0.7199859181634758
two_sine,0.03,2,0.0001,0.7000595794260481
two_sine,0.03,2,0.01,0.6958163218180557
two_sine,0.03,3,0.0,0.7236480652217697
two_sine,0.03,3,1e-10,0.723647604831926
two_sine,0.03,3,1e-08,0.723602139997665
two_sine,0.03,3,1e-06,0.7199859181634758
two_sine,0.03,3,0.0001,0.7000595794260481
two_sine,0.03,3,0.01,0.6958163218180557
two_sine,0.03,4,0.0,0.7236480652217697
two_sine,0.03,4,1e-10,0.723647604831926
two_sine,0.03,4,1e-08,0.723602139997665
two_sine,0.03,4,1e-06,0.7199859181634758
two_sine,0.03,4,0.0001,0.7000595794260481
two_sine,0.03,4,0.01,0.6958163218180557
two_sine,0.1,0,0.0,0.7715547953415889
two_sine,0.1,0,1e-10,0.7715547942719305
two_sine,0.1,0,1e-08,0.7715546883764632
two_sine,0.1,0,1e-06,0.771544101436441
two_sine,0.1,0,0.0001,0.7705104653074097
two_sine,0.1,0,0.01,0.7316304117510333
two_sine,0.1,1,0.0,0.7715547953415889
two_sine,0.1,1,1e-10,0.7715547942719305
two_sine,0.1,1,1e-08,0.7715546883764632
two_sine,0.1,1,1e-06,0.771544101436441
two_sine,0.1,1,0.0001,0.7705104653074097
two_sine,0.1,1,0.01,0.7316304117510333
two_sine,0.1,2,0.0,0.7715547953415889
two_sine,0.1,2,1e-10,0.7715547942719305
two_sine,0.1,2,1e-08,0.7715546883764632
two_sine,0.1,2,1e-06,0.771544101436441
two_sine,0.1,2,0.0001,0.7705104653074097
two_sine,0.1,2,0.01,0.7316304117510333
two_sine,0.1,3,0.0,0.7715547953415889
two_sine,0.1,3,1e-10,0.7715547942719305
two_sine,0.1,3,1e-08,0.7715546883764632
two_sine,0.1,3,1e-06,0.771544101436441
two_sine,0.1,3,0.0001,0.7705104653074097
two_sine,0.1,3,0.01,0.7316304117510333
